candidato,votos,porcentaje,nivel,region,distrito,comuna
EVELYN MATTHEI FORNET,20661,8.44,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
HAROLD MAYNE-NICHOLLS SECUL,4065,1.6600000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
FRANCO PARISI FERNANDEZ,40651,38.98,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
JEANNETTE JARA ROMAN,19496,18.69,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1201,1.1500000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,14990,14.370000000000001,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
JOSE ANTONIO KAST RIST,20108,19.279999999999998,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
EDUARDO ANTONIO ARTES BRICHETTI,488,0.47000000000000003,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
EVELYN MATTHEI FORNET,6352,6.09,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
HAROLD MAYNE-NICHOLLS SECUL,1005,0.96,comuna,DE ANTOFAGASTA,DISTRITO 3,CALAMA
FRANCO PARISI FERNANDEZ,1429,45.86,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
JEANNETTE JARA ROMAN,694,22.27,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,40,1.28,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,288,9.239999999999998,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
JOSE ANTONIO KAST RIST,472,15.15,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
EDUARDO ANTONIO ARTES BRICHETTI,14,0.45,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
EVELYN MATTHEI FORNET,146,4.6899999999999995,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
HAROLD MAYNE-NICHOLLS SECUL,33,1.06,comuna,DE ANTOFAGASTA,DISTRITO 3,MARIA ELENA
FRANCO PARISI FERNANDEZ,3266,38.47,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
JEANNETTE JARA ROMAN,2291,26.99,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,99,1.1700000000000002,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,928,10.93,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
JOSE ANTONIO KAST RIST,1293,15.229999999999999,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
EDUARDO ANTONIO ARTES BRICHETTI,42,0.49,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
EVELYN MATTHEI FORNET,493,5.81,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
HAROLD MAYNE-NICHOLLS SECUL,77,0.91,comuna,DE ANTOFAGASTA,DISTRITO 3,MEJILLONES
FRANCO PARISI FERNANDEZ,427,58.17,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
JEANNETTE JARA ROMAN,90,12.26,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,10,1.36,comuna,DE ANTOFAGASTA,DISTRITO 3,OLLAGUE
